Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
356,48.3,51.7,42348,24,9,8,23.6,14.6,108,108,105,Primary
250,54,46,42254,13,10,4,12.6,19.6,110,111,108,Primary
230,46.5,53.5,43913,12,11,11,11.2,19.2,106,102,101,Primary
209,59.3,40.7,44422,9,9,6,9,22.8,110,107,107,Primary
195,51.3,48.7,42273,12,4,5,12,16.1,105,105,103,Primary
203,47.8,52.2,41066,15,3,3,13.9,14.6,108,105,104,Primary
200,50.5,49.5,43429,13,5,5,12.6,15.9,115,111,109,Primary
114,60.5,39.5,42434,10,8,2,9.2,12,108,108,104,Primary
933,45.9,54.1,48186,80,10,32,73.7,12.7,104,102,101,Secondary
1630,45.8,54.2,45269,112,37,47,108.9,15,108,108,104,Secondary
744,98.3,1.7,51106,56,6,17,53,14,112,109,109,Secondary
837,42.8,57.2,50015,56,12,13,54.7,15.3,103,102,101,Secondary
993,47.7,52.3,47718,83,10,24,81,12.3,106,104,101,Secondary
220,48.6,51.4,41708,17,10,4,14.5,14.5,112,107,109,Primary
481,48.4,51.6,41179,24,24,8,22.6,20.5,108,106,104,Primary
575,47.3,52.7,44448,33,35,12,30.8,18.3,108,108,105,Primary
440,48.2,51.8,43681,28,19,6,26.5,16.4,113,108,108,Primary
1057,41.8,58.2,43517,97,27,31,92.7,11.4,107,106,107,Secondary
334,51.5,48.5,40937,20,11,6,20,16.2,107,106,103,Primary
1079,45.8,54.2,55825,74,21,34,69,15.6,107,105,104,Secondary
440,46.6,53.4,42994,20,15,6,18.6,23.5,107,105,103,Primary
265,55.8,44.2,43953,20,19,13,15.3,16.7,108,106,105,Primary
314,100,0,33733,57,19,30,28.6,11,104,103,103,Secondary
388,48.2,51.8,42980,18,16,3,17.6,21.7,104,104,102,Primary
1343,45.4,54.6,44164,122,32,34,112.7,11.9,108,105,103,Secondary
1133,42.7,57.3,41617,101,67,2,94.1,12,113,109,108,Secondary
1040,46.2,53.8,41676,60,28,32,60,17.3,105,104,101,Secondary
1185,100,0,46363,66,9,20,65.4,18.1,108,106,104,Secondary
431,43.2,56.8,38595,44,5,11,43.8,9.8,104,104,103,Secondary
621,49.6,50.4,35829,32,25,10,31.8,19.5,103,102,102,Primary
763,47.2,52.8,43572,66,21,16,64.3,11.9,113,109,108,Secondary
216,46.8,53.2,39347,12,8,4,12,18,105,104,105,Primary
